test_no,dod_percent,soc_avg_percent,c_rate,expected_aging,final_efc,capacity_loss_percent,final_soh
1,5.0,50.0,0.5,LLI,261.4975000000158,0.21808626745957754,99.78191373254042
2,10.0,50.0,0.5,LLI,232.00000000001626,0.19416628975932326,99.80583371024068
3,20.0,50.0,0.5,LLI,217.25000000001728,0.18369495425802973,99.81630504574197
4,40.0,50.0,0.5,LLI,209.67500000001894,0.17775882290077707,99.82224117709923
5,50.0,50.0,0.5,LLI,209.58750000001973,0.18100918368754798,99.81899081631245
6,60.0,50.0,0.5,LLI,191.95000000002332,0.1642346984511173,99.83576530154889
7,80.0,50.0,0.5,LLI+LAM,207.02500000001967,0.17157931044231242,99.82842068955769
8,90.0,50.0,0.5,LLI+LAM,207.02500000001967,0.1769709556287346,99.82302904437127
9,10.0,70.0,0.5,LLI,227.60000000001685,0.20034352301979935,99.7996564769802
10,10.0,90.0,0.5,LLI,225.55000000001763,0.20345710872810177,99.7965428912719
11,10.0,70.0,1.25,LLI,27.7124999999995,0.034012316658294635,99.96598768334171
12,10.0,70.0,2.0,LLI,27.7124999999995,0.034012316658294635,99.96598768334171
13,100.0,50.0,2.0,LLI+LAM,207.7999999999842,0.09246094189485632,99.90753905810514
